"","A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"1","inside_cordon",0,14897.55651,6025.41699,1298.45947,2158.8981,2353.47021,28733.36523,5676.59399,1901.17615,4471.03467,1424.03113,236.8118,4398.59131,4574.5415,11758.00064
"2","zone_139",3522.54608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","zone_140",9667.90967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","zone_143",1079.41199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","zone_145",2994.30311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","zone_155",5968.73682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","zone_156",17711.35742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","zone_160",19835.07813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","zone_164",5209.73779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","zone_233",2937.69696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","zone_237",5985.07861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","zone_239",14777.70313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","zone_244",5103.06738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","zone_245",952.9032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","zone_327",4229.85156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","zone_333",1046.06482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
